tweet,date,user_location,id,link
"NO VAS Y . 
#sincelejo #colombia #parati https://t.co/b5ixN2URTa",2022-10-08 13:55:44+00:00,"Sincelejo, Colombia",1578745965279727616,https://twitter.com/i/web/status/1578745965279727616
El guayabo hpta que debe tener el que se estrelló en el centro de sincelejo 😵‍💫🥴🤯 ay padre,2022-10-08 13:43:58+00:00,"Corozal, Colombia",1578743004390895616,https://twitter.com/i/web/status/1578743004390895616
En Sincelejo últimamente te mata un carro o un atracador 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️,2022-10-08 13:27:47+00:00,,1578738932778663936,https://twitter.com/i/web/status/1578738932778663936
"@CarlosPaterC @andresgomezmtz Están liberando caja para las elecciones de 2023. No les interesa la ciudad, solo seguir atornillándose para seguir desagrando a Sincelejo.",2022-10-08 13:02:40+00:00,Sincelejo,1578732612512022529,https://twitter.com/i/web/status/1578732612512022529
"📳 La Primera dama de la Nación, Verónica Alcocer García, tramitó y recibió en #Sincelejo la #CédulaDigital, el nuevo documento de identificación de los colombianos. https://t.co/Fl76jDFOXv",2022-10-08 12:47:04+00:00,"Sincelejo, Colombia",1578728684705353728,https://twitter.com/i/web/status/1578728684705353728
📳 Reportan #caravanas nocturnas de #motocicletas en distintos sectores de #Sincelejo https://t.co/hwvsFXKqPT,2022-10-08 12:24:36+00:00,"Sincelejo, Colombia",1578723029030690817,https://twitter.com/i/web/status/1578723029030690817
"Te invito a seguir hoy la transmisión del Concejo de Sincelejo, en donde tendremos un intervención de 5 minutos.

Hora: 8:15 a.m. 

Conéctate: https://t.co/LGWNNaOGg8 https://t.co/0lrSv9JR91",2022-10-08 11:56:42+00:00,"Sincelejo, Colombia",1578716009602592768,https://twitter.com/i/web/status/1578716009602592768
"Salí de Montería a las 9 de la noche, y mi papá y mamá me escribieron que cuando llegara a Sincelejo les avisara, jaja soy su niño de 33 años.",2022-10-08 05:54:32+00:00,"Corozal, Colombia",1578624869289586688,https://twitter.com/i/web/status/1578624869289586688
"Tronco de accidente loco ese del centro de Sincelejo, menos mal no hubo tragedia.",2022-10-08 05:52:28+00:00,"Corozal, Colombia",1578624345634926593,https://twitter.com/i/web/status/1578624345634926593
"#Judicial Las autoridades investigan las causas de un aparatoso accidente ocurrido pasadas las 7:00 p. m. en el Centro de #Sincelejo. 

El conductor de una camioneta se estrelló contra dos carros y en su frenético recorrido embistió a otros conductores y causó otros daños. https://t.co/B727y4fiLS",2022-10-08 04:14:38+00:00,"Sincelejo, Colombia",1578599726488104960,https://twitter.com/i/web/status/1578599726488104960
Nos fuimos de carritos chocones en sincelejo JAJAJAJA https://t.co/Z6N7uibwlL,2022-10-08 03:57:37+00:00,"Sincelejo, Colombia",1578595445064232960,https://twitter.com/i/web/status/1578595445064232960
"📳 Tras seguirlo a través de las #cámaras de #video #vigilancia, patrullas de la #Policía capturaron en el barrio Villa Mady de #Sincelejo, a alias “Care #Caballo”, presunto #delincuente que se había dado a la #fuga tras hurtar 1 bolso y 1 celular a una ciudadana. https://t.co/l08g4C05TF",2022-10-08 03:23:15+00:00,"Sincelejo, Colombia",1578586795347890177,https://twitter.com/i/web/status/1578586795347890177
"Ombe Sincelejo esta como rezao, todo lo que suceda da miedo.",2022-10-08 03:19:37+00:00,"Sincelejo, Colombia",1578585881258078208,https://twitter.com/i/web/status/1578585881258078208
"@PrimoECosta @cesarolse Un man solitico, al parecer piao causo un papaputun en el parque Santander en #sincelejo",2022-10-08 03:12:03+00:00,"Sincelejo, Colombia",1578583978885677056,https://twitter.com/i/web/status/1578583978885677056
@PrimoECosta @cesarolse En el centro de SINCELEJO,2022-10-08 03:10:47+00:00,"Sincelejo, Colombia",1578583659661008897,https://twitter.com/i/web/status/1578583659661008897
"Sincelejo, Sucre: fuga afecta la prestación del servicio de agua | https://t.co/Q9tIHSoifk https://t.co/9q47gh7VX9",2022-10-08 02:56:00+00:00,"Sincelejo, Colombia",1578579937652772864,https://twitter.com/i/web/status/1578579937652772864
"Acaba de publicar una foto en Sincelejo, Sucre https://t.co/NyaVnEvnQL",2022-10-08 02:55:23+00:00,Periodista,1578579783537102849,https://twitter.com/i/web/status/1578579783537102849
¿ Que pasa en sincelejo? Cuando no es actos de corrupción son atracadores al acecho o borracho al volante. Pobre de mi bello sincelejo https://t.co/AmXPXBEpDb,2022-10-08 02:43:39+00:00,"Sampués, Colombia",1578576828440014848,https://twitter.com/i/web/status/1578576828440014848
El olor a la calle del hambre en Sincelejo también https://t.co/GRJVpqIyWd,2022-10-08 02:36:03+00:00,"Sincelejo, Colombia",1578574917120847873,https://twitter.com/i/web/status/1578574917120847873
📳 #Responsable del múltiple #accidente de #tránsito en el centro de #Sincelejo afirma que tuvo un problema #mental. https://t.co/GDpmACdKtB,2022-10-08 02:35:47+00:00,"Sincelejo, Colombia",1578574849190264832,https://twitter.com/i/web/status/1578574849190264832
Que miedo conducir en en sincelejo.,2022-10-08 02:33:08+00:00,,1578574183524859904,https://twitter.com/i/web/status/1578574183524859904
"📳 Video 2: En #cámaras de #seguridad quedó registrado múltiple #accidente de #tránsito en el #centro de #Sincelejo.

Un #motociclista resultó #herido y fue trasladado a un centro de salud de la ciudad. https://t.co/n9DIY4DEKe",2022-10-08 02:21:31+00:00,"Sincelejo, Colombia",1578571258593042433,https://twitter.com/i/web/status/1578571258593042433
"Acaba de publicar una foto en Sincelejo, Sucre https://t.co/Cnqi0pyZ2Z",2022-10-08 02:14:39+00:00,,1578569532951732226,https://twitter.com/i/web/status/1578569532951732226
"📳 En #cámaras de #seguridad quedó registrado múltiple #accidente de #tránsito en el #centro de #Sincelejo.

Un #motociclista resultó #herido y fue trasladado a un centro de salud de la ciudad. https://t.co/DRb2i1ibtI",2022-10-08 02:13:31+00:00,"Sincelejo, Colombia",1578569245956665344,https://twitter.com/i/web/status/1578569245956665344
"@Korraleja La costumbre del irrespeto por las señales de tránsito en #sincelejo, ya los semáforos están es de adorno, FALTA MUCHA CULTURA.",2022-10-08 02:09:18+00:00,"Sincelejo, Colombia",1578568184042397697,https://twitter.com/i/web/status/1578568184042397697
"@JhonTurizoH Cuando ganó la Alcaldía el señor Jacobo quessep usted sabe cómo cuadro a los pastores que hoy tienen presencia en cada esquina de sincelejo. Eso fue la compra masiva de pastores, regalando terrenos y repartiendo plata.",2022-10-08 02:06:17+00:00,"Sincelejo, Sucre",1578567426014576640,https://twitter.com/i/web/status/1578567426014576640
@EL_CHE_009 @SucrePolicia @EduarNarvaez_M @Korraleja @JhonTurizoH @Veronicalcocerg @Difanzon @luisadragic @OresteBaracchi @MaryRodrigzz @jorge_manjarres @roberticopadron @roblesmapi_ @Yurijaneth31 @EmiLioJoseN @AlexBetinAlviz Vea así actúan los que se creen dueños de sincelejo !! Malparidos ratas de mierda,2022-10-08 02:02:25+00:00,Colombia - Sincelejo - Sucre,1578566455506845696,https://twitter.com/i/web/status/1578566455506845696
"📳 Estrepitoso #accidente de #tránsito en el centro de #Sincelejo.

Un hombre que conducía una #motocicleta resultó herido tras ser arrollado por un vehículo tipo SUV que terminó impactando un poste y bolardos.

Testigos afirman que el automóvil no habría respetado el #semáforo. https://t.co/ryeZxUiIn9",2022-10-08 01:56:14+00:00,"Sincelejo, Colombia",1578564895339167745,https://twitter.com/i/web/status/1578564895339167745
@Ricardo40199157 @carlosbernatte Alguien me puede decir que político sirve en Sincelejo?,2022-10-08 00:56:53+00:00,"Sincelejo, Colombia",1578549962190700545,https://twitter.com/i/web/status/1578549962190700545
"Acaba de publicar una foto en Sincelejo, Sucre https://t.co/jDjc613YFd",2022-10-08 00:48:37+00:00,Periodista,1578547882533474304,https://twitter.com/i/web/status/1578547882533474304
Con él acordamos trabajar articuladamente para llevar soluciones reales a la zona rural para su desarrollo sostenible y pedimos su apoyo para avanzar en el proyecto de la terminal de transportes de #Sincelejo. https://t.co/8I6YcI5KsE,2022-10-08 00:47:35+00:00,"Sincelejo, Colombia",1578547620464586752,https://twitter.com/i/web/status/1578547620464586752
"#Hilo Entregamos la Medalla Honor al Mérito Alcaldía de Sincelejo a Hernando Chica Zuccardi, actual presidente del @bancoagrario, durante el primer Foro Agropecuario Regional, por su destacada trayectoria laboral. https://t.co/qXUSP15BBB",2022-10-08 00:47:33+00:00,"Sincelejo, Colombia",1578547613032681472,https://twitter.com/i/web/status/1578547613032681472
@CDarioRodriguez Vengan a sincelejo ustedes 😔,2022-10-08 00:09:43+00:00,"Sincelejo, Colombia",1578538091148546048,https://twitter.com/i/web/status/1578538091148546048
#Judicial La detención fue en el mismo barrio donde ocurrió el crimen. https://t.co/MQlSB6a6Sm,2022-10-07 23:07:44+00:00,"Sincelejo, Colombia",1578522492792340480,https://twitter.com/i/web/status/1578522492792340480
@EdgarRafaelGa13 Mi Sincelejo 😂,2022-10-07 22:58:45+00:00,"Sincelejo, Colombia",1578520233341378560,https://twitter.com/i/web/status/1578520233341378560
"#Sucre Contra la covid-19, en la Plaza de Majagual. https://t.co/Q9hc7u4REr",2022-10-07 22:42:37+00:00,"Sincelejo, Colombia",1578516173318393856,https://twitter.com/i/web/status/1578516173318393856
"Que bien por los jóvenes de Sincelejo, veo muchas personas con ganas de cambio y de que lo vamos a Lograr! 💪🏽",2022-10-07 21:09:33+00:00,Sincelejo-sucre,1578492752265764865,https://twitter.com/i/web/status/1578492752265764865
"📳 La #Señorita #Sucre 2022-2023 en el @reinadocolombia, Fabiana Caleño, fue presentada ante las autoridades en #Sincelejo. https://t.co/va15DL5Wgl",2022-10-07 21:05:13+00:00,"Sincelejo, Colombia",1578491660560134145,https://twitter.com/i/web/status/1578491660560134145
